epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1845,1.76012,2.64,1.48499,0.13002,0.71154,0.42636,0.22703,1.52074,3.02467,1.33456,0.00046826,0.00046826,0.00046826
2,51.0742,1.55811,1.72193,1.3463,0.56465,0.49393,0.51625,0.27907,1.56321,2.09336,1.42387,0.000897836,0.000897836,0.000897836
3,73.5246,1.53328,1.59379,1.32647,0.66817,0.61538,0.65907,0.35698,1.58533,1.77559,1.55781,0.00128025,0.00128025,0.00128025
4,95.8128,1.50689,1.50553,1.34716,0.64609,0.6164,0.64991,0.36039,1.5316,1.67593,1.39028,0.00121679,0.00121679,0.00121679
5,118.121,1.47152,1.3437,1.28223,0.66125,0.68359,0.72111,0.40435,1.49617,1.4333,1.353,0.00114606,0.00114606,0.00114606
6,140.541,1.50006,1.31439,1.30115,0.68651,0.7004,0.72167,0.3897,1.52652,1.37498,1.35663,0.00107532,0.00107532,0.00107532
7,162.962,1.45711,1.25072,1.26982,0.7953,0.73887,0.82398,0.48642,1.40263,1.1828,1.30026,0.00100459,0.00100459,0.00100459
8,185.215,1.41631,1.18804,1.26853,0.74755,0.71154,0.78227,0.43757,1.48455,1.26141,1.33756,0.000933851,0.000933851,0.000933851
9,207.475,1.41528,1.16268,1.26798,0.81548,0.74256,0.83059,0.48372,1.44483,1.15424,1.31639,0.000863116,0.000863116,0.000863116
10,229.863,1.3791,1.11932,1.237,0.8283,0.75607,0.85365,0.50687,1.41132,1.13941,1.29786,0.00079238,0.00079238,0.00079238
11,297.445,1.36494,1.07141,1.22397,0.80305,0.78036,0.8356,0.48692,1.4127,1.13491,1.28485,0.000721645,0.000721645,0.000721645
12,320.535,1.33138,0.98593,1.18948,0.81568,0.76113,0.85093,0.51111,1.37281,1.11501,1.26706,0.000650909,0.000650909,0.000650909
13,344.067,1.30725,0.97305,1.19211,0.82462,0.8043,0.86455,0.52195,1.36605,0.98958,1.24809,0.000580174,0.000580174,0.000580174
14,366.857,1.29208,0.92227,1.18083,0.83405,0.77833,0.8577,0.51921,1.39109,1.05941,1.25136,0.000509438,0.000509438,0.000509438
15,388.862,1.29713,0.907,1.17221,0.84577,0.77834,0.86481,0.53286,1.36918,1.01653,1.26352,0.000438703,0.000438703,0.000438703
16,410.939,1.2706,0.87781,1.15087,0.84442,0.79657,0.87693,0.53378,1.35716,0.95115,1.23513,0.000367967,0.000367967,0.000367967
17,433.11,1.24017,0.83089,1.14124,0.85831,0.80316,0.88243,0.55679,1.30741,0.94812,1.2142,0.000297232,0.000297232,0.000297232
18,455.194,1.21121,0.81091,1.1193,0.8552,0.81894,0.8881,0.5528,1.3254,0.92172,1.22775,0.000226497,0.000226497,0.000226497
19,477.286,1.18797,0.77175,1.11566,0.86092,0.80162,0.89289,0.56051,1.31433,0.91197,1.2219,0.000155761,0.000155761,0.000155761
20,499.365,1.1734,0.7654,1.09782,0.86556,0.80466,0.89183,0.56317,1.30612,0.88833,1.22471,8.50255e-05,8.50255e-05,8.50255e-05
